Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
Munkerodgyden 11,"Stegsted, 5200 Odense V",3000000.0,2025,274,6,2,Auktion
Lodsvej 25B,"Stige, 5270 Odense N",803200.0,2024,141,6,2,Auktion
Assensvej 243,"Bellinge, 5250 Odense SV",844500.0,2024,153,5,2,Auktion
Blommehaven 2,"Bullerup, 5320 Agedrup",865850.0,2023,139,6,1,Auktion
Planteskolevej 17,"Holmstrup, 5250 Odense SV",1170000.0,2023,184,7,2,Auktion
Paaskeløkkevej 19,5000 Odense C,1100000.0,2023,77,5,1,Auktion
Ejbygade 14,5220 Odense SØ,1472900.0,2023,128,5,2,Auktion
Bådvej 41,5240 Odense NØ,1675000.0,2023,131,5,2,Auktion
Nr. Lyndelse Vej 35,"Højby, 5260 Odense S",2150000.0,2023,178,6,2,Auktion
Faaborgvej 258B,"Dyrup, 5250 Odense SV",2750000.0,2022,127,4,2,Auktion
Travbanevej 12,"Sanderum, 5250 Odense SV",2390000.0,2022,131,5,1,Auktion
Skærevej 7,"Fangel, 5260 Odense S",367052.0,2022,66,3,1,Auktion
Nøglens Kvarter 151,"Holluf Pile, 5220 Odense SØ",1350000.0,2021,149,6,1,Auktion
Husemosevej 15,"Spedsbjerg, 5491 Blommenslyst",795000.0,2021,119,4,2,Auktion
Rugårdsvej 183,"Tarup, 5210 Odense NV",1223808.0,2021,108,4,1,Auktion
Vibækvej 15,"Bellinge, 5250 Odense SV",1507100.0,2021,177,4,1,Auktion
Teisensvej 1A,5000 Odense C,998300.0,2021,68,3,1,Auktion
Kabbelejen 2,"Fraugde, 5220 Odense SØ",3500000.0,2021,229,6,2,Auktion
Riddersporen 11,"Fraugde, 5220 Odense SØ",2800000.0,2021,152,6,2,Auktion
Bogensevej 385,"Næsbyhoved-Broby, 5270 Odense N",875000.0,2020,112,4,1,Auktion
Munkemaen 188,"Anderup, 5270 Odense N",1822000.0,2020,130,5,1,Auktion
Middelfartvej 402,"Lille Ubberud, 5491 Blommenslyst",1100000.0,2020,140,6,1,Auktion
Vejrup-Vej 71,"Vejrup, 5491 Blommenslyst",900000.0,2020,91,4,1,Auktion
Rødegårdsvej 152,5230 Odense M,1973744.0,2020,144,7,2,Auktion
Stærmosevej 13A,"Brændekilde, 5250 Odense SV",828750.0,2025,193,5,2,Familiehandel
Langelinie 137,5230 Odense M,8500000.0,2025,210,7,3,Familiehandel
Henriettevej 6,5000 Odense C,1773950.0,2025,90,4,1,Familiehandel
Klokkens Kvarter 71,"Holluf Pile, 5220 Odense SØ",1547850.0,2025,106,5,2,Familiehandel
Fædresmindevej 16,"Sanderum, 5250 Odense SV",2357600.0,2025,151,5,2,Familiehandel
Villestofte Skovgyde 136,"Villestofte, 5210 Odense NV",4000000.0,2025,191,5,2,Familiehandel
Mariavænget 15,"Hjallese, 5260 Odense S",1159600.0,2025,162,5,2,Familiehandel
Bødtchersvej 17,5230 Odense M,3225000.0,2025,159,6,3,Familiehandel
Slagenvej 4,"Aasum, 5240 Odense NØ",843200.0,2025,135,4,2,Familiehandel
Over-Holluf-Toften 13,"Over Holluf, 5220 Odense SØ",1250000.0,2025,131,6,1,Familiehandel
Grynmøllen 27,"Hjallese, 5260 Odense S",1190000.0,2025,103,5,1,Familiehandel
Ejlstrupvej 185,"Ejlstrup, 5200 Odense V",881200.0,2025,128,5,2,Familiehandel
Daltoften 107,"Agedrup, 5320 Agedrup",814292.0,2025,100,4,1,Familiehandel
"Åløkke Allé 29, st.",5000 Odense C,1500000.0,2025,63,2,1,Familiehandel
"Åløkke Allé 29, 1.",5000 Odense C,1500000.0,2025,63,2,1,Familiehandel
Lungstedvangen 48,"Bellinge, 5250 Odense SV",850000.0,2025,156,4,1,Familiehandel
Hestehøjvej 25,"Højby, 5260 Odense S",1567000.0,2025,110,4,2,Familiehandel
Klokkens Kvarter 56,"Holluf Pile, 5220 Odense SØ",975000.0,2024,91,4,1,Familiehandel
Brittavej 1,"Lumby, 5270 Odense N",800000.0,2024,102,4,1,Familiehandel
"Bjergegade 26C, 1.",5000 Odense C,1600000.0,2024,82,3,1,Familiehandel
"Store Glasvej 28, 1.",5000 Odense C,1311200.0,2024,61,3,1,Familiehandel
Store Klaus 75,"Næsby, 5270 Odense N",731500.0,2024,200,7,3,Familiehandel
Skovhaven 39,"Bullerup, 5320 Agedrup",1278327.0,2024,206,7,2,Familiehandel
Bådvej 26,5240 Odense NØ,1149000.0,2024,182,4,2,Familiehandel
Steinsgade 15L,5000 Odense C,1168750.0,2024,63,3,1,Familiehandel
Bækholmen 53,"Seden, 5240 Odense NØ",1600000.0,2024,110,4,2,Familiehandel
Fredemarksvej 88,"Vester Kærby, 5320 Agedrup",1487500.0,2024,150,4,2,Familiehandel
Fuglebakken 172,"Snestrup, 5210 Odense NV",1647300.0,2024,127,4,2,Familiehandel
"Odinsgade 42, 1. tv.",5000 Odense C,2000000.0,2024,66,2,1,Familiehandel
Egelykkevej 17,"Hjallese, 5260 Odense S",1533600.0,2024,112,4,2,Familiehandel
"Holsedore 18B, 1. 2.",5000 Odense C,1691400.0,2024,82,3,1,Familiehandel
Plovgårdsvej 41,"Bellinge, 5250 Odense SV",2055000.0,2024,150,4,2,Familiehandel
Slotsbakkevænget 13,5000 Odense C,1700000.0,2024,99,4,1,Familiehandel
"Hans Tausens Gade 20, 2. th.",5000 Odense C,1568200.0,2024,86,2,1,Familiehandel
Bækholmen 14,"Seden, 5240 Odense NØ",750000.0,2024,99,4,1,Familiehandel
"Christiansgade 11, 2. tv.",5000 Odense C,950000.0,2024,98,3,1,Familiehandel
Brørupvænget 18,"Bolbro, 5200 Odense V",623200.0,2024,147,5,2,Familiehandel
"Schacksgade 19, 1. tv.",5000 Odense C,985000.0,2024,52,2,1,Familiehandel
Rødegårdsvej 187,5230 Odense M,2200000.0,2024,94,4,1,Familiehandel
Pilegårdvænget 2,"Seden, 5240 Odense NØ",1300000.0,2024,110,3,1,Familiehandel
Østrupvej 44,"Tarup, 5210 Odense NV",1472800.0,2024,141,6,2,Familiehandel
"Middelfartvej 137, 1. th.","Bolbro, 5200 Odense V",960000.0,2024,70,3,1,Familiehandel
Højbyvej 61,"Allerup, 5220 Odense SØ",452000.0,2024,100,4,1,Familiehandel
Elleholmvej 33,"Ravnebjerg, 5250 Odense SV",600000.0,2024,249,9,3,Familiehandel
"Lotusvej 16, 1. th.","Sanderum, 5250 Odense SV",800000.0,2024,91,4,1,Familiehandel
Kærnehøjvej 78,"Højby, 5260 Odense S",1139566.0,2024,137,4,1,Familiehandel
Ved Vejgården 33,"Kirkendrup, 5270 Odense N",900000.0,2024,110,4,1,Familiehandel
"Teisensvej 2A, 1. tv.",5000 Odense C,700000.0,2024,71,2,1,Familiehandel
Bindekildevej 80,"Brændekilde, 5250 Odense SV",6500000.0,2024,154,5,2,Familiehandel
"Nansensgade 11, 2. th.",5000 Odense C,1350000.0,2024,57,2,1,Familiehandel
Vandmøllevej 30,"Davinde, 5220 Odense SØ",909000.0,2024,155,4,2,Familiehandel
"Promenadebyen 2, 1. 4.",5000 Odense C,3588000.0,2024,138,3,1,Familiehandel
Skt. Hans Gade 41,5000 Odense C,1200000.0,2024,117,4,2,Familiehandel
"Skt. Hans Gade 2, 2. th.",5000 Odense C,890000.0,2024,50,1,1,Familiehandel
Sanderumvej 27,"Sanderum, 5250 Odense SV",1888888.0,2024,118,4,2,Familiehandel
"Østre Stationsvej 42, st. th.",5000 Odense C,493000.0,2024,62,3,2,Familiehandel
"Lollandsgade 33, 1.",5000 Odense C,1742500.0,2024,80,2,1,Familiehandel
"Lollandsgade 33, st.",5000 Odense C,1742500.0,2024,80,3,1,Familiehandel
Karetmagerstræde 6,"Aasum, 5240 Odense NØ",1293683.0,2024,170,6,2,Familiehandel
"Sdr. Boulevard 194, 2. th.",5000 Odense C,527000.0,2024,48,2,1,Familiehandel
Højmarken 20,"Vejrup, 5491 Blommenslyst",872500.0,2024,175,6,2,Familiehandel
Humlebivænget 26,"Hjallese, 5260 Odense S",1175000.0,2024,176,4,2,Familiehandel
Godthåbsgade 15A,5000 Odense C,892500.0,2024,55,2,1,Familiehandel
Bispeengen 39,"Anderup, 5270 Odense N",1534755.0,2024,148,5,2,Familiehandel
Skjoldborgsvej 15,"Næsby, 5270 Odense N",1609750.0,2024,175,6,2,Familiehandel
Ildfuglevænget 116,"Hjallese, 5260 Odense S",1295000.0,2024,75,3,1,Familiehandel
Duedalen 34,5240 Odense NØ,928000.0,2024,100,4,1,Familiehandel
"Oppermannsvej 8, 1. tv.",5230 Odense M,370000.0,2024,75,3,1,Familiehandel
Hammergyden 21,"Stige, 5270 Odense N",1003200.0,2024,84,3,2,Familiehandel
